Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
PORTOBRAS BAR AND GRILL,Restaurant,1474 ST CLAIR AVE W                      UNIT 6	 	TORONTO	 	ON M6E 1C6,TORONTO,416-657-1200,69,69,0,
PORTS CAFE BAR & GRILL,Restaurant,1181 DUNDAS ST W	 	TORONTO	 	ON M6J 1X3,TORONTO,416-516-1270,125,125,0,
POSITANO RESTAURANT,Restaurant,633 MOUNT PLEASANT RD	 	TORONTO	 	ON M4S 2M9,TORONTO,416-932-3982,25,25,0,
POSTICINO RISTORANTE,Restaurant,755 THE QUEENSWAY	 	TORONTO	 	ON M8Z 1M8,TORONTO,416-253-9207,56,56,0,
POUR HOUSE IRISH PUB,Restaurant,182-184 DUPONT ST	 	TORONTO	 	ON M5R 2E6,TORONTO,416-967-7687,324,210,114,
POURQUOI PAS RESTAURANT,Restaurant,63 SHEPARDD AVE W	 	TORONTO	 	ON M2N 1M4,TORONTO,416-226-9071,61,40,21,
PRAGUE (THE),Restaurant,638 QUEEN ST W	 	TORONTO	 	ON M6J 1E4,TORONTO,416-504-5787,30,30,0,
PRAIA DE MIRA BAKERY & PASTRY,Restaurant,1346 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1C4,TORONTO,416-651-5348,50,50,0,
PRAK'S RESTAURANT & BAR,Restaurant,752 MARKHAM ROAD	 	TORONTO	 	ON M1H 2A9,TORONTO,416-571-8322,40,40,0,
PRAVDA VODKA BAR,Restaurant,44 WELLINGTON ST E	 	TORONTO	 	ON M9C 4R1,TORONTO,416-366-0303,288,288,0,
PREGO DELLA PIAZZA,Restaurant,150 BLOOR ST W	 	TORONTO	 	ON M5S 2X9,TORONTO,416-920-5087,375,292,83,
PREMIERE DANCE THEATRE,Theatre,207 QUEENS QUAY W	 	TORONTO	 	ON M5J 1A7,TORONTO,416-973-4276,339,339,0,
PRESS CLUB (THE),Restaurant,850 DUNDAS ST W	 	TORONTO	 	ON M6J 1V5,TORONTO,416-364-7183,59,39,20,
PRIMETIME SPORTS CAFE,Restaurant,1531 DUPONT STR	 	TORONTO	 	ON M6P 3S3,TORONTO,416-539-9102,65,39,26,
PRINCE OF SEAFOOD CHINESE RESTAURANT,Restaurant,240 ALTON TOWERS CIRC                    UNIT 7A	 	TORONTO	 	ON M1V 4P2,TORONTO,416-298-3238,163,163,0,
PRINCESS OF WALES THEATRE (THE),Theatre,300 KING ST W	 	TORONTO	 	ON M5V 1J2,TORONTO,416-351-9011,3545,3545,0,
PRIVE YORKVILLE,Restaurant/Club,140 YORKVILLE AVE	 	TORONTO	 	ON M5R 1C2,TORONTO,647-349-8528,61,61,0,
PRO-STOP SPORTBAR AND CAFE,Restaurant,438 ROGERS ROAD	 	TORONTO	 	ON M6M 1A5,TORONTO,647-430-0772,45,45,0,
PROHIBITION GASTROPUB AND OYSTER BAR,Restaurant,696 QUEEN ST E	 	TORONTO	 	ON M4M 1G9,TORONTO,416-406-2669,144,144,0,
PROMISE PIANO BAR,Restaurant,633 SILVER STAR BLVD                     UNIT R109	 	TORONTO	 	ON M1V 5N1,TORONTO,416-609-9988,60,60,0,
PROVENCE DELICES,Restaurant,12 AMELIA ST	 	TORONTO	 	ON M4X 1E1,TORONTO,416-924-9901,108,78,30,
PUCK 'N WINGS,Restaurant,5625 YONGE ST	 	TORONTO	 	ON M2M 3S9,TORONTO,416-224-1661,162,140,22,
PUCK'N WINGS,Restaurant,362 BLOOR ST W                           UNIT 3	 	TORONTO	 	ON M5S 1X2,TORONTO,416-962-5050,87,70,17,
PULCINELLA,Restaurant,3687 LAKE SHORE BLVD W	 	TORONTO	 	ON M8W 1P7,TORONTO,416-253-9959,91,91,0,
PURE SPIRITS,Restaurant,55 MILL ST                               UNITS 62 & 62A	 	TORONTO	 	ON M5A 3C4,TORONTO,416-361-5859,1235,175,1060,
PURPLE ONION RESTAURANT (THE),Restaurant,2998 DUNDAS ST W	 	TORONTO	 	ON M6P 1Z3,TORONTO,416-760-8208,60,60,0,
QE THEATRE,Restaurant,190 PRINCES BLVD	 	TORONTO	 	ON M6K 3C3,TORONTO,416-263-3293,965,907,58,
QSSIS ATTITUDE CONFERENCE AND BANQUET,Restaurant,3474 KINGSTON RD	 	TORONTO	 	ON M1M 1R5,TORONTO,416-265-3030,678,678,0,
QUAIL & FIRKIN (THE),Restaurant,1055 YONGE ST	 	TORONTO	 	ON M4W 2L2,TORONTO,416-962-0782,212,170,42,
QUALITY INN RESTAURANT,Restaurant,1165 DUNDAS ST. W	 	TORONTO	 	ON M6J 1X3,TORONTO,416-534-2414,34,34,0,
QUAN THI,Bar/Sports Bar,1549 DUPONT ST	 	TORONTO	 	ON M6P 3S5,TORONTO,416-740-6033,25,25,0,
QUASI QUASI,Restaurant,"55 BLOOR ST W                            LOWER LEVEL, UNIT 14	 	TORONTO	 	ON M4W 1A5",TORONTO,416-963-9864,55,55,0,
QUATTRO 4 RAGAZZE RISTORANTE,Restaurant,1792 DANFORTH AVE	 	TORONTO	 	ON M4C 1H8,TORONTO,416-463-2655,0,0,0,
QUE LING SEAFOOD RESTAURANT,Restaurant,248 BOULTON AVE.	 	TORONTO	 	ON M4M 2K1,TORONTO,416-778-4038,24,24,0,
QUEEN AND BEAVER PUBLIC HOUSE,Restaurant,35 ELM ST	 	TORONTO	 	ON M5G 1H1,TORONTO,647-977-1234,166,123,43,
QUEEN CITY INDOOR TENNIS CLUB,Social Club,568 DUPONT ST	 	TORONTO	 	ON M6G 1Y9,TORONTO,416-535-6991,295,295,0,
QUEEN CUISINE (THE),Restaurant,394 SPADINA AVE	 	TORONTO	 	ON M5T 2G5,TORONTO,416-597-9333,38,30,8,
QUEEN MARGHERITA PIZZA,Restaurant/Bar,1402 QUEEN ST E                          UNIT A	 	TORONTO	 	ON M4L 1C9,TORONTO,416-466-6555,120,120,0,
QUEEN MOTHER CAFE,Restaurant,206 QUEEN ST W	 	TORONTO	 	ON M5V 1Z2,TORONTO,416-598-4719,128,82,46,
QUEEN OF SHEBA RESTAURANT (THE),Restaurant,1051 BLOOR ST W	 	TORONTO	 	ON M6H 1M4,TORONTO,416-536-4162,53,53,0,
QUEEN SLICE,Restaurant,177 COLLEGE ST	 	TORONTO	 	ON M5T 1P7,TORONTO,416-977-1111,16,16,0,
QUEEN STAR RESTAURANT,Restaurant,1116 QUEEN ST W	 	TORONTO	 	ON M6J 1H9,TORONTO,416-537-1067,35,35,0,
QUEEN VICTORIA'S PUB & CATERING,Restaurant/Bar,2240 MIDLAND AVE                         UNIT 13	 	TORONTO	 	ON M1P 4R8,TORONTO,647-347-1141,196,123,73,
QUEEN'S ARMS MAHARANI RESTAURANT (THE),Restaurant,1170 THE QUEENSWAY	 	TORONTO	 	ON M8Z 1R5,TORONTO,416-253-0984,90,90,0,
QUEEN'S BAR & GRILL,Restaurant,1026 QUEEN ST. E	 	TORONTO	 	ON M4M 1K4,TORONTO,416-469-4060,28,28,0,
QUEEN'S LEGS (THE),Restaurant,286 EGLINTON AVE W	 	TORONTO	 	ON M4R 1B2,TORONTO,416-481-3555,78,78,0,
QUEEN'S OWN RIFLES OF CANADA    OFF,Restaurant,130 QUEEN ST. E                          MOSS PARK ARMOURY	 	TORONTO	 	ON M5A 1R9,TORONTO,416-635-2761,0,0,0,
QUEEN'S OWN RIFLES OF CANADA    SGT,Restaurant,130 QUEEN ST. E                          MOSS PARK ARMOURY	 	TORONTO	 	ON M5A 1R9,TORONTO,416-635-4400,2651,2651,0,
QUEEN'S PASTA CAFE,Restaurant,2263 BLOOR ST W                          GROUND FLOOR	 	TORONTO	 	ON M6S 1N8,TORONTO,416-766-0993,132,78,54,
QUEENS YORK RANGERS OFF.,Restaurant,660 FLEET ST.                            FORT YORK ARMOURIES	 	TORONTO	 	ON M5V 1A9,TORONTO,,0,0,0,
QUEENS YORK RANGERS SGT. MESS,Restaurant,"660 FLEET ST.                            FORT YORK ARMOURIES, ROOM 226	 	TORONTO	 	ON M5V 1A9",TORONTO,416-203-4622,0,0,0,
QUEENSHEAD PUB EATERY,Restaurant,"2555 VICTORIA PARK AVE                   UNIT 1, BUILDING A	 	TORONTO	 	ON M1T 1A3",TORONTO,416-220-9179,90,90,0,
QUESADA MEXICAN GRILL,Restaurant,234 WELLINGTON ST W	 	TORONTO	 	ON M5V 3N9,TORONTO,416-644-0876,42,30,12,
QUESADA MEXICAN GRILL,Restaurant,92 KING ST E                             UNIT #120	 	TORONTO	 	ON M5C 2V8,TORONTO,416-565-1890,67,38,29,
QUIGLEY'S PUB & BISTRO,Restaurant,2232 QUEEN ST E	 	TORONTO	 	ON M4E 1E9,TORONTO,416-699-9998,275,125,150,
QUINCE,Restaurant,2110 YONGE ST	 	TORONTO	 	ON M4S 2A5,TORONTO,416-489-0078,124,112,12,
QUINN'S STEAKHOUSE BAR & BELI,Restaurant,96 RICHMOND ST W	 	TORONTO	 	ON M5H 2A3,TORONTO,416-366-9600,400,400,0,
RAAW JAPANESE CUISINE,Restaurant,171 EAST LIBERTY ST                      UNIT 146	 	TORONTO	 	ON M6K 3P6,TORONTO,647-347-8082,40,40,0,
RADISSON HOTEL ADMIRAL,Hotel/Motel,249 QUEENS QUAY W	 	TORONTO	 	ON M5J 2N5,TORONTO,416-203-3333,762,619,143,
RADISSON HOTEL TORONTO EAST,Hotel/Motel,55 HALLCROWN PL                          AT HIGHWAY 401	 	TORONTO	 	ON M2J 4R1,TORONTO,416-493-7000,554,554,0,
RAILS AND ALES BILLIARD LOUNGE,Restaurant,752 DANFORTH AVE	 	TORONTO	 	ON M4J 1L5,TORONTO,416-465-7236,124,102,22,
RAIN,Restaurant,19 MERCER ST	 	TORONTO	 	ON M5V 1H2,TORONTO,416-599-7246,375,375,0,
RAINFOREST CAFE,Restaurant,3401 DUFFERIN ST                         UNIT 28 - YORKDALE MALL - BOX 227	 	TORONTO	 	ON M6A 2T9,TORONTO,416-780-4080,390,390,0,
RAJPUT BISTRO III,Restaurant/Bar,642 BLOOR ST W	 	TORONTO	 	ON M6G 1K9,TORONTO,416-539-8817,42,42,0,
RAJPUTS BISTRO 111,Restaurant,111 DUPONT ST	 	TORONTO	 	ON M5R 1V4,TORONTO,647-435-0372,81,28,53,
RAMADA HOTEL & SUITES,Hotel/Motel,300 JARVIS ST	 	TORONTO	 	ON M5B 2C5,TORONTO,416-977-4823,628,577,51,
RANCHO LATINO INC.,Restaurant,2290 KEELE ST	 	TORONTO	 	ON M6M 3Z8,TORONTO,416-246-2772,53,38,15,
RANCHO RELAXO,Restaurant,300 COLLEGE ST	 	TORONTO	 	ON M5T 1R9,TORONTO,416-920-0366,172,163,9,
RANDY'S SPORTS BAR & RESTAURANT,Restaurant,4801 KEELE ST                            UNIT 62	 	TORONTO	 	ON M3J 3A4,TORONTO,416-667-7177,53,53,0,
RANGOLI,Restaurant,1392 YONGE ST	 	TORONTO	 	ON M4T 1Y5,TORONTO,416-967-4111,25,25,0,
RAQ N WAQ,Restaurant,739 QUEEN ST. W                          SECOND FLOOR	 	TORONTO	 	ON M6J 1G1,TORONTO,416-504-9120,386,326,60,
RASA SAYANG RESTAURANT,Restaurant,2579 VICTORIA PARK AVE                   UNIT 4	 	TORONTO	 	ON M1T 1A4,TORONTO,416-498-7799,53,53,0,
RASHNAA RESTAURANT,Restaurant,307 WELLESLEY ST E	 	TORONTO	 	ON M4X 1H2,TORONTO,416-929-2099,47,30,17,
RASPUTIN VODKA AND ZAKUSKI LOUNGE,Restaurant,780 QUEEN ST E	 	TORONTO	 	ON M4M 1H4,TORONTO,416-469-3737,80,80,0,
RAVISOUPS,Restaurant,322 ADELAIDE ST W	 	TORONTO	 	ON M5V 1R1,TORONTO,647-435-8365,77,41,36,
REAL JERK (THE),Restaurant,709 QUEEN ST E	 	TORONTO	 	ON M4M 1H1,TORONTO,416-463-6055,156,156,0,
REAL TASTE OF INDIA,Restaurant,1698 QUEEN ST E	 	TORONTO	 	ON M4L 1G6,TORONTO,416-686-8146,28,28,0,
REAL THAILAND RESTAURANT,Restaurant,350 BLOOR ST W	 	TORONTO	 	ON M5S 1W9,TORONTO,416-924-7444,105,84,21,
REBEL HOUSE (THE),Restaurant,1068 YONGE ST	 	TORONTO	 	ON M4W 2L4,TORONTO,416-927-0704,76,50,26,
RECTORY CAFE (THE),Restaurant,102 LAKESHORE AVE.                       WARDS ISLAND	 	TORONTO	 	ON M5J 1X9,TORONTO,416-203-2152,933,63,870,
RED CRANBERRIES RESTAURANT,Restaurant,601 PARLIAMENT ST.	 	TORONTO	 	ON M4Y 1P9,TORONTO,416-925-6330,100,100,0,
RED HOUSE RESTAURANT,Restaurant,1085 O'CONNOR DR	 	TORONTO	 	ON M4B 2T5,TORONTO,416-755-0564,50,50,0,
RED LANTERN PUB,Restaurant/Bar,228 MERTON ST	 	TORONTO	 	ON M4S 1A1,TORONTO,,164,146,18,
RED LIGHT (THE),Restaurant/Bar,1185 DUNDAS ST W	 	TORONTO	 	ON M6J 1X3,TORONTO,416-533-6667,71,49,22,
RED LOBSTER RESTAURANT,Restaurant,1790 THE QUEENSWAY	 	TORONTO	 	ON M9C 5H5,TORONTO,416-620-9990,281,233,48,
RED LOBSTER RESTAURANT,Restaurant,20 DUNDAS ST W                           THE ATRIUM ON BAY	 	TORONTO	 	ON M5G 2C2,TORONTO,416-348-8938,303,303,0,
RED ROOM (THE),Bar /Tavern /Nightclub,1718 JANE ST.	 	TORONTO	 	ON M9N 2S4,TORONTO,416-913-9797,65,65,0,
RED ROOM CAFE,Restaurant,444 SPADINA AVE	 	TORONTO	 	ON M5T 2G8,TORONTO,416-929-9964,136,124,12,
RED SQUARE,Restaurant,1027 FINCH AVE W                         UNIT 7	 	TORONTO	 	ON M3J 2C8,TORONTO,647-501-5451,202,188,14,
REDS BISTRO & BAR,Restaurant,77 ADELAIDE ST W                         NO. 1 FIRST CANADIAN PLACE	 	TORONTO	 	ON M5H 1P5,TORONTO,416-862-7337,394,330,64,
REGAL BEAGLE,Restaurant,335 BLOOR ST W	 	TORONTO	 	ON M5S 1W7,TORONTO,416-591-6858,109,82,27,
REGAL GARDEN,Restaurant,815 BLOOR ST W	 	TORONTO	 	ON M6G 1M1,TORONTO,416-530-8088,38,38,0,
REGAL HEIGHTS BISTRO,Restaurant,1079 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1A6,TORONTO,416-651-2109,82,82,0,
REGENCY RESTAURANT,Restaurant,1423 GERRARD ST E	 	TORONTO	 	ON M4L 1Z7,TORONTO,416-778-7366,36,36,0,
REGINA PIZZERIA & TRATTORIA,Restaurant,782 COLLEGE ST	 	TORONTO	 	ON M6G 1C6,TORONTO,416-535-1318,42,36,6,
REIGN LOUNGE,Night Club,137 PETER ST	 	TORONTO	 	ON M5V 2H3,TORONTO,416-593-1550,366,286,80,
RELISH BAR & GRILL,Bar /Tavern /Nightclub,2152 DANFORTH AVE	 	TORONTO	 	ON M4C 1K3,TORONTO,416-425-4664,54,54,0,
REMARKS BAR & GRILL,Restaurant/Bar,1026 COXWELL AVE	 	TORONTO	 	ON M4C 3G5,TORONTO,416-425-9877,320,300,20,
REMINGTON'S MEN OF STEEL,Adult Entertainment,379 YONGE ST	 	TORONTO	 	ON M5B 1S1,TORONTO,416-977-2160,199,199,0,
REMYS RESTAURANT,Restaurant/Bar,115 YORKVILLE AVE	 	TORONTO	 	ON M5R 1C1,TORONTO,416-968-9429,692,347,345,
RENAISSANCE CAFE,Bar /Tavern /Nightclub,1938 DANFORTH AVE	 	TORONTO	 	ON M4C 1J4,TORONTO,416-422-1441,155,146,9,
RENAISSANCE TORONTO HOTEL AT SKYDOME,Hotel/Motel,1 BLUE JAYS WAY	 	TORONTO	 	ON M5V 1J4,TORONTO,416-341-7100,1178,1178,0,
RENDEZ-VOUS BAR CAFE,Bar /Tavern /Nightclub,1408 DANFORTH AVE	 	TORONTO	 	ON M4J 1M9,TORONTO,416-469-2513,35,30,5,
RENEGADES,Restaurant,1752 VICTORIA PARK AVE	 	TORONTO	 	ON M1R 1R4,TORONTO,416-701-1822,78,78,0,
REPOSADO BAR AND LOUNGE,Restaurant,136 OSSINGTON AVE	 	TORONTO	 	ON M6J 2Z4,TORONTO,416-532-6474,60,30,30,
RESERVOIR LOUNGE (THE),Restaurant,52 WELLINGTON ST E	 	TORONTO	 	ON M5E 1C8,TORONTO,416-955-0887,172,172,0,
"RESIDENCE INN BY MARRIOTT, TORONTO AIRPORT",Restaurant,17 READING COURT	 	TORONTO	 	ON M9W 7K7,TORONTO,416-798-2900,166,166,0,
RESIDENCE INN DOWNTOWN TORONTO,Hotel/Motel,255 WELLINGTON ST	 	TORONTO	 	ON M5V 3P9,TORONTO,416-581-1800,261,261,0,
RESTAURANT #27,Restaurant,963 O'CONNOR DR	 	TORONTO	 	ON M4B 2T1,TORONTO,416-759-6262,30,30,0,
RESTAURANT ARAGVI,Restaurant,832 SHEPPARD AVE W	 	TORONTO	 	ON M3H 2T1,TORONTO,416-792-2613,28,28,0,
RESTAURANT JULES ROTISSERIE TARTERIE,Restaurant,147 SPADINA AVE.                         UNIT 109	 	TORONTO	 	ON M5V 2L7,TORONTO,416-348-8886,41,32,9,
RESTAURANT MINHOTO LTD.,Restaurant,2075 DUFFERIN ST	 	TORONTO	 	ON M6E 3R3,TORONTO,416-653-8462,72,72,0,
RESTAURANTE PONTA DELGADA BAR,Restaurant,990 BLOOR ST W	 	TORONTO	 	ON M6H 1L8,TORONTO,416-531-4727,65,65,0,
RETRO CAFE (THE),Restaurant,537 ST. CLAIR AVE W	 	TORONTO	 	ON M6C 1A3,TORONTO,416-653-7446,38,38,0,
REVIVAL RESTAURANT - BAR,Restaurant,783 COLLEGE ST	 	TORONTO	 	ON M6G 1C5,TORONTO,416-535-7888,460,460,0,
REX HOTEL,Hotel/Motel,194 QUEEN ST W	 	TORONTO	 	ON M5V 1Z1,TORONTO,416-598-2475,212,176,36,
REX RINX,Restaurant,67 & 75 DUFFLAW RD	 	TORONTO	 	ON M6A 1L7,TORONTO,416-783-6492,374,324,50,
REXALL CENTRE,Stadium,1 SHOREHAM DRIVE                         SUITE 100	 	TORONTO	 	ON M3N 3A6,TORONTO,416-665-9777,18273,15723,2550,
REXDALE SWEETS AND RESTAURANT,Restaurant,26A REXDALE BLVD                         (CITY OF ETOBICOKE)	 	TORONTO	 	ON M9W 5Z3,TORONTO,416-744-0585,45,45,0,
RHINO BAR & GRILL (THE),Restaurant,1249 QUEEN ST W	 	TORONTO	 	ON M6K 1L5,TORONTO,416-535-8089,651,483,168,
RICE & NOODLE,Restaurant,1508 QUEEN ST W	 	TORONTO	 	ON M6R 1A4,TORONTO,416-535-6868,19,19,0,
RICHARD IVEY SCHOOL OF BUSINESS,Restaurant,"130 KING ST W                            UNIT SW/10, P.O. BOX 31	 	TORONTO	 	ON M5X 1A9",TORONTO,416-861-9600,45,45,0,
RICHMOND ROGUE (THE),Restaurant,284 RICHMOND ST E	 	TORONTO	 	ON M5A 1P4,TORONTO,416-868-9595,120,120,0,
RICHTREE MARKET RESTAURANT,Restaurant,444 YONGE ST.                            COLLEGE PARK - UNIT M9	 	TORONTO	 	ON M5B 2H4,TORONTO,416-849-9241,153,69,84,
RICOH COLISEUM,Stadium,100 PRINCESS BLVD                        NATIONAL TRADE CENTRE	 	TORONTO	 	ON M6K 3C3,TORONTO,416-263-3903,13220,13220,0,
RIMINI CAFE & BAR,Restaurant,916 SHEPPARD AVE W	 	TORONTO	 	ON M3H 2T6,TORONTO,416-633-0692,44,34,10,
RINCON DE LA BOCA,Restaurant/Bar,1710 EGLINTON AVE W	 	TORONTO	 	ON M6E 2H5,TORONTO,416-789-1240,62,40,22,
RIO 40 DEGREES RESTAURANT & BAR,Restaurant,1256 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1B9,TORONTO,416-654-6363,132,88,44,
RISTORANTE DA NOI,Restaurant,4906 DUNDAS ST W                         UNIT 100	 	TORONTO	 	ON M9A 1B5,TORONTO,647-351-6642,30,30,0,
RISTORANTE LA FENICE,Restaurant,319 KING ST W                            UNIT #1	 	TORONTO	 	ON M5V 1J5,TORONTO,416-585-2377,120,112,8,
RISTORANTE ROMA,Restaurant,1090 BLOOR ST W	 	TORONTO	 	ON M6H 1M6,TORONTO,416-531-4000,136,96,40,
RISTORANTE ROMAGNA MIA,Restaurant,106 FRONT ST E	 	TORONTO	 	ON M5A 1E1,TORONTO,416-363-8370,152,127,25,
RITZ CARIBBEAN FOODS SPORTS BAR,Restaurant,77 LOWER JARVIS ST	 	TORONTO	 	ON M5E 1R8,TORONTO,416-863-1263,159,159,0,
RIVA SUPPER LOUNGE,Restaurant,584 COLLEGE ST	 	TORONTO	 	ON M6G 1B3,TORONTO,416-588-7377,149,143,6,
RIVER,Restaurant,413 RONCESVALLES AVE.	 	TORONTO	 	ON M6R 2N1,TORONTO,416-532-3422,93,93,0,
RIVER GAMBLER,Boat,261 QUEENS QUAY E                        PIER 29	 	TORONTO	 	ON M5E 1Y3,TORONTO,416-364-6999,0,0,0,
RIVER SEAFOOD HOUSE,Restaurant,611-615 GERRARD ST. E	 	TORONTO	 	ON M4M 1Y2,TORONTO,416-778-8888,250,250,0,
RIVER TAI CHINESE RESTAURANT,Restaurant,92 HARBORD ST.	 	TORONTO	 	ON M5S 1G5,TORONTO,416-925-6305,38,38,0,
RIVOLI RESTAURANT (THE),Restaurant,332-4 QUEEN ST W	 	TORONTO	 	ON M5V 2A2,TORONTO,416-977-5082,592,568,24,
RIZ RESTAURANT,Restaurant,1677 BAYVIEW AVE	 	TORONTO	 	ON M4G 3C1,TORONTO,416-487-8388,65,65,0,
ROBERTO'S RISTORANTE ITALIANO,Restaurant,2622 YONGE ST.	 	TORONTO	 	ON M4P 2J4,TORONTO,416-489-2153,53,53,0,
ROCK AND ROLL HEAVEN BAR AND RESTAURANT TORONTO EAST,Restaurant,1660 O'CONNOR DRIVE	 	TORONTO	 	ON M4A 1W4,TORONTO,416-750-7335,316,242,74,
ROCK PILE (THE),Restaurant,5555 DUNDAS ST W	 	TORONTO	 	ON M9B 6C1,TORONTO,416-464-7614,462,252,210,
ROCKIE RACCOONS EATERY,Restaurant,2579 YONGE ST	 	TORONTO	 	ON M4P 2J1,TORONTO,416-484-6464,160,122,38,
ROCKWOOD/GRASS,Restaurant,31 MERCER ST	 	TORONTO	 	ON M5V 1H2,TORONTO,416-979-7373,542,330,212,
ROCKY CAFFEE BAR RESTAURANT,Restaurant,1087 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1A8,TORONTO,,58,58,0,
RODNEY'S BY BAY,Restaurant,56 TEMPERANCE ST.	 	TORONTO	 	ON M5H 3V5,TORONTO,416-616-5404,40,40,0,
RODNEY'S OYSTER HOUSE,Restaurant,469 KING ST W	 	TORONTO	 	ON M5V 1K4,TORONTO,416-363-8105,242,206,36,
ROEHAMPTON HOTEL,Hotel/Motel,808 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4P 2L2,TORONTO,416-487-5101,405,341,64,
ROGERS CENTRE,Stadium,1 BLUE JAYS WAY	 	TORONTO	 	ON M5V 1J3,TORONTO,416-341-1000,22971,22621,350,
ROL SAN RESTAURANT,Restaurant,323 SPADINA AVE	 	TORONTO	 	ON M5T 2E9,TORONTO,416-977-1128,130,130,0,
ROLAND'S RESTAURANT,Restaurant,2900 EGLINTON AVE E                      UNITS 6 & 7	 	TORONTO	 	ON M1J 2E4,TORONTO,416-431-4242,80,80,0,
ROMEO,Restaurant,630 DANFORTH AVE                         BASEMENT	 	TORONTO	 	ON M4K 1R3,TORONTO,416-462-3737,126,126,0,
RONG HUA CHINESE RESTAURANT,Restaurant,478 DUNDAS ST W	 	TORONTO	 	ON M5T 1G9,TORONTO,416-598-8100,58,58,0,
RONNIE'S LOCAL 069,Restaurant,69 NASSAU ST	 	TORONTO	 	ON M5T 1M6,TORONTO,416-340-1110,74,38,36,
ROOM SERVICE,Restaurant,1006 ST. CLAIR AVE W	 	TORONTO	 	ON M6E 1A2,TORONTO,416-654-7666,37,37,0,
ROOSEVELT ROOM (THE),Restaurant/Club,328-332 ADELAIDE ST W	 	TORONTO	 	ON M5V 1R4,TORONTO,416-599-9000,424,424,0,
ROSA BRANCA CAFE,Restaurant,816 COLLEGE ST	 	TORONTO	 	ON M6G 1C8,TORONTO,416-536-3419,30,30,0,
ROSE & CROWN (THE),Night Club,2335 YONGE ST	 	TORONTO	 	ON M4P 2C8,TORONTO,416-937-7685,231,231,0,
ROSE AND THORNE III,Restaurant,264 BROWNS LINE                          (CITY OF ETOBICOKE)	 	TORONTO	 	ON M8W 3T5,TORONTO,416-233-8827,182,145,37,
ROSEBUD (THE),Restaurant,669 QUEEN ST W	 	TORONTO	 	ON M6J 1E6,TORONTO,416-854-7831,57,57,0,
ROSEDALE DINER RESTAURANT,Restaurant,1164 YONGE ST	 	TORONTO	 	ON M4W 2L9,TORONTO,416-923-3122,63,36,27,
ROSEDALE GOLF CLUB,Restaurant,1901 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4N 2W3,TORONTO,416-485-9321,1280,1280,0,
ROSEHILL VENUE LOUNGE,Banquet Hall,1365 YONGE ST                            UNIT 209	 	TORONTO	 	ON M4T 2P7,TORONTO,416-923-2232,327,327,0,
ROSES NEW YORK STYLE PIZZA AND SANDWICH,Restaurant,6313 YONGE ST	 	TORONTO	 	ON M2M 3X7,TORONTO,416-733-3636,64,46,18,
ROSEWATER SUPPER CLUB,Restaurant,19 TORONTO ST.	 	TORONTO	 	ON M5C 2R1,TORONTO,416-214-5888,0,0,0,
ROTI KING,Restaurant,1688 EGLINTON AVE. W	 	TORONTO	 	ON M6E 2H5,TORONTO,416-781-8432,106,106,0,
ROTISSERIE HOUSE (THE),Restaurant,141 JEFFERSON AVE	 	TORONTO	 	ON M6K 3E4,TORONTO,416-516-4233,21,21,0,
ROUTE 401 DINER,Restaurant,2 RONSON DRIVE	 	TORONTO	 	ON M9W 1B2,TORONTO,416-249-2465,60,48,12,
ROUTE 66 ROADSIDE GRILL & BAR,Restaurant,145 THE MARKET COURT                     EGLINTON SQUARE SHOPPING CENTRE	 	TORONTO	 	ON M1R 4B9,TORONTO,416-755-7869,408,349,59,
ROXTON (THE),Restaurant,379 HARBORD ST	 	TORONTO	 	ON M6G 1H8,TORONTO,416-535-8181,50,30,20,
ROY (THE),Restaurant,894 QUEEN ST E	 	TORONTO	 	ON M4M 1J3,TORONTO,416-465-3331,94,94,0,
ROY THOMSON HALL,Restaurant,60 SIMCOE ST	 	TORONTO	 	ON M5J 2H5,TORONTO,416-593-4822,6355,5692,663,
ROYAL ALEXANDRA THEATRE,Theatre,260 KING ST W	 	TORONTO	 	ON M5V 1H9,TORONTO,416-593-4232,1991,1991,0,
ROYAL ANTEDILUVIAN ORDER OF BUFFALO,Restaurant,222 BROADVIEW AVE.	 	TORONTO	 	ON M4M 2G5,TORONTO,416-469-0034,102,102,0,
ROYAL CANADIAN CURLING CLUB,Restaurant,131 BROADVIEW AVE.	 	TORONTO	 	ON M4M 2E9,TORONTO,416-461-0251,356,356,0,
"ROYAL CANADIAN LEGION (THE), BRANCH 621",Restaurant,2290 DUNDAS ST. W	 	TORONTO	 	ON M6R 1X4,TORONTO,416-588-7601,158,158,0,
ROYAL CANADIAN LEGION - BRANCH 10,Restaurant,1083 PAPE AVE	 	TORONTO	 	ON M4K 3W7,TORONTO,416-425-3070,568,552,16,
ROYAL CANADIAN LEGION - BRANCH 11,Restaurant,9 DAWES ROAD	 	TORONTO	 	ON M4C 5A8,TORONTO,416-699-1353,676,646,30,
ROYAL CANADIAN LEGION - BRANCH 22,Restaurant,1240 WOODBINE AVE.	 	TORONTO	 	ON M4C 4E4,TORONTO,416-425-1714,545,545,0,
